timestamp,waiting,running
1764324278.3068538,0.0,2.0
1764324279.3250532,0.0,19.0
1764324280.3435514,0.0,3.0
1764324281.361976,0.0,6.0
1764324282.3801432,0.0,2.0
1764324283.3983488,0.0,2.0
1764324284.4159093,0.0,2.0
1764324285.4237094,0.0,1.0
1764324286.4416862,0.0,3.0
1764324287.4584897,0.0,2.0
1764324289.414373,0.0,2.0
1764324290.4329388,0.0,1.0
1764324291.4505107,0.0,4.0
1764324292.4715776,0.0,3.0
1764324293.495095,0.0,4.0
1764324294.5092251,0.0,1.0
1764324295.527335,0.0,0.0
1764324296.5457182,0.0,0.0
1764324297.5632446,0.0,2.0
1764324298.5715272,0.0,0.0
1764324304.5985444,0.0,0.0
1764324305.617359,0.0,0.0
1764324306.635245,0.0,0.0
1764324307.6535273,0.0,0.0
1764324308.6714737,0.0,1.0
1764324309.6903796,0.0,0.0
1764324310.7095919,0.0,1.0
1764324311.7279758,0.0,0.0
1764324312.7462971,0.0,0.0
1764324313.7642913,0.0,0.0
1764324314.7838118,0.0,0.0
1764324315.8041108,0.0,0.0
1764324316.8226395,0.0,0.0
1764324317.846401,0.0,1.0
1764324318.8639832,0.0,0.0
1764324319.8820927,0.0,0.0
1764324320.9001536,0.0,1.0
1764324321.9180129,0.0,0.0
1764324322.9359243,0.0,0.0
1764324323.9571307,0.0,0.0
